emulator_scenario,fair_scenario,short,year,p5,p17,p33,p50,p66,p83,p95
vl,verylow,VLLO,1915,-0.1894340803992197,-0.1131718594481504,-0.0558104358233837,-0.0092154635702721,0.0332935102153358,0.0842955822149646,0.1701336948287141
vl,verylow,VLLO,1916,-0.154524371283462,-0.0838474283209857,-0.0316943817340495,0.0125113475889791,0.0567740174293556,0.109206648724266,0.1944764464506047
vl,verylow,VLLO,1917,-0.1488708241982902,-0.076372123771333,-0.0202789554593316,0.0267048939493241,0.0655618228091419,0.1205997513737406,0.2003250690743586
vl,verylow,VLLO,1918,-0.1474173456237724,-0.0647052939080064,-0.0101124044182227,0.0390980326017954,0.0776814855821494,0.1280698457717495,0.19997256023352
vl,verylow,VLLO,1919,-0.1324798832989185,-0.0537081343905012,-0.0037193901002057,0.0463994428532836,0.0853156449549447,0.1393142494021012,0.2070406155290068
vl,verylow,VLLO,1920,-0.1256802167248085,-0.0501724337617339,0.0062049445119761,0.055509374828205,0.0945840417384638,0.1490032150535286,0.2269885403717556
vl,verylow,VLLO,1921,-0.1170509128456441,-0.0439780353840245,0.0093004967093181,0.0585639367035538,0.096846040152919,0.1571755618234317,0.2331401353708976
vl,verylow,VLLO,1922,-0.1028634631581435,-0.0176434933322714,0.0251398880735657,0.0666367066977459,0.1074570494027067,0.1650931770200902,0.2481875870248724
vl,verylow,VLLO,1923,-0.104091731169833,-0.0245145931711401,0.0328624094151441,0.0752597657586865,0.111274572993119,0.1722847365908927,0.2361433107409473
vl,verylow,VLLO,1924,-0.1110245447479832,-0.0322491345676831,0.0210120847272086,0.0712251248365889,0.1168968539459152,0.1751226560781476,0.2539042517670766
vl,verylow,VLLO,1925,-0.0925480233572356,-0.0096594017840152,0.040352180406479,0.0822248072054502,0.1182114410232406,0.1747730332393758,0.2450574335331566
vl,verylow,VLLO,1926,-0.0850482505254164,-0.002896487890552,0.0473526577460317,0.0911624967420264,0.1318201161009462,0.1898031267341299,0.2660367556461975
vl,verylow,VLLO,1927,-0.0783994147806426,-0.0005583604814021,0.053202868809564,0.0977886796078553,0.1397903174756557,0.1951793772583599,0.2679612654331728
vl,verylow,VLLO,1928,-0.0782247186435992,-3.794019037934039e-05,0.0504547904369198,0.0954838780969255,0.145255516947216,0.2023923437628926,0.2864371712234686
vl,verylow,VLLO,1929,-0.0690695611396203,0.0067663333385048,0.0586552215634936,0.1069164794594843,0.1438979675039075,0.1979690537268195,0.2771580496862259
vl,verylow,VLLO,1930,-0.0777755863129708,-0.0145426247919939,0.0313892539020818,0.0780298733142499,0.1205629568527809,0.1818694112787459,0.2452250372651188
