scenario,short,year,p5,p17,p33,p50,p66,p83,p95
verylow-overshoot,VLHO,1932.0,-0.10950510413346659,-0.02670749825689532,0.015922339746597184,0.05802117414110049,0.10014210336656237,0.1545685567697718,0.23076176376287555
verylow-overshoot,VLHO,1933.0,-0.10312343981111567,-0.03632775062308949,0.01784191079468189,0.057446273229457945,0.10178178192383248,0.1628184444392788,0.23105263935869488
verylow-overshoot,VLHO,1934.0,-0.09790076656068118,-0.032332331607223846,0.02201101421928255,0.05882637451213389,0.09937106781962318,0.14954818719268206,0.22992511283391767
verylow-overshoot,VLHO,1935.0,-0.09515723560003225,-0.02417557139425782,0.022261145883431997,0.06206214013291294,0.10406393358752766,0.1670672347347633,0.2394784383678134
verylow-overshoot,VLHO,1936.0,-0.09780830711601478,-0.01707335471997538,0.023189323620375926,0.06399552153518981,0.1018685788416573,0.15544579736709024,0.23298815137008552
verylow-overshoot,VLHO,1937.0,-0.09104141032738416,-0.017888849209913692,0.026019412137489404,0.06749687406850609,0.10399221150674194,0.1668583763136887,0.2425894501649686
verylow-overshoot,VLHO,1938.0,-0.09244077529755136,-0.024941712429255452,0.030522474503343125,0.07799538511399921,0.11311218516526801,0.17628771713348196,0.24709597139020079
verylow-overshoot,VLHO,1939.0,-0.09337921359105138,-0.01970314133738229,0.0328117327672653,0.07074124655952327,0.11187668610360027,0.17224913807056808,0.24896421948426084
verylow-overshoot,VLHO,1940.0,-0.09559114963011539,-0.024023811847442327,0.03572905650849874,0.0793206956918898,0.1162124364912238,0.16712320151698767,0.2642836177537938
verylow-overshoot,VLHO,1941.0,-0.07886132580256942,-0.00977155270327586,0.040932349216569734,0.08168633963219572,0.12224077886123338,0.17230503165739863,0.2544899278319052
verylow-overshoot,VLHO,1942.0,-0.06710717849523325,-0.006012187322955845,0.04164752302534266,0.08176402429781876,0.1279805542948926,0.17948914261030247,0.25964445959844384
verylow-overshoot,VLHO,1943.0,-0.07466109423549551,-0.008158189111436964,0.04758280542380819,0.09102326181392967,0.13371074696884075,0.19566098547781666,0.2778763428409632
verylow-overshoot,VLHO,1944.0,-0.07366476010227778,-0.0013700792366340058,0.0436975133857613,0.08752869223134178,0.13048237265685556,0.1860482006537872,0.2766289370377197
verylow-overshoot,VLHO,1945.0,-0.06956513443363421,0.00019481007953738296,0.05517555318111139,0.09102509691396989,0.13291216747632098,0.1875626545521744,0.2780525351367903
verylow-overshoot,VLHO,1946.0,-0.07857004128262028,0.0005480740803947874,0.05123846461988989,0.09482644607356111,0.13376260997431139,0.18868983053343008,0.2703930872109659
verylow-overshoot,VLHO,1947.0,-0.08727557602222746,0.0005586377847172769,0.05497568360136958,0.09810191301652385,0.13690600597850794,0.19358446099440038,0.28488726741995823
verylow-overshoot,VLHO,1948.0,-0.06930285737962968,-0.00203890002489397,0.05669441020488004,0.09737072363255098,0.13520421131596444,0.19238071325133496,0.2711028328856093
verylow-overshoot,VLHO,1949.0,-0.06501311197274347,0.00036271282088033816,0.04856848262799423,0.09373623247021018,0.13986718892840838,0.19964748552751815,0.2732082138330453
verylow-overshoot,VLHO,1950.0,-0.07983419790708814,0.003075540526650324,0.05099414010292966,0.10141011328261244,0.14313282731577218,0.1955383588022392,0.2830454818724846
verylow-overshoot,VLHO,1951.0,-0.07106576608995012,0.013780506888796827,0.06199721739975274,0.10075873303813113,0.1431593340671365,0.20516723099930148,0.2737342180973573
verylow-overshoot,VLHO,1952.0,-0.06831515881268853,0.006054827469178605,0.06255718011730875,0.10827597094607405,0.1477025838664334,0.20264858973161154,0.27804236889904005
verylow-overshoot,VLHO,1953.0,-0.08379248473488371,0.006609133242768062,0.06814874011174714,0.10935399464757377,0.1460086576655598,0.19760854491103674,0.2704823478396772
verylow-overshoot,VLHO,1954.0,-0.07056862269214553,0.01841198799884891,0.07102562544764712,0.11050443582795563,0.1509352202141651,0.2023014515769616,0.2891743066159104
verylow-overshoot,VLHO,1955.0,-0.07387090441018945,0.00438907298447595,0.06567459006033141,0.10822303470481658,0.14474735768734556,0.20355349283059232,0.2871060805879072
verylow-overshoot,VLHO,1956.0,-0.0576395510045879,0.012611789828276859,0.06782150713045297,0.10547432607405019,0.14424084486578423,0.20160904107714311,0.27910437553427053
verylow-overshoot,VLHO,1957.0,-0.0580932601162,0.02443221081307103,0.07546451320317467,0.11468939042327414,0.15472223730887386,0.20822010382056347,0.29127038038558845
verylow-overshoot,VLHO,1958.0,-0.036328385741400626,0.03082173718853229,0.0807863507950651,0.12636961704490968,0.16058449467579064,0.2198915530546061,0.2894027657617051
verylow-overshoot,VLHO,1959.0,-0.040738849275725145,0.03554272701921037,0.08164138561987336,0.12622576751858927,0.16605549563335245,0.2218593403008818,0.2969193575636067
verylow-overshoot,VLHO,1960.0,-0.026942293256969504,0.04292884413489757,0.08968473554813859,0.12963709939644585,0.16955015092998435,0.22451832782015083,0.30171324714269054
verylow-overshoot,VLHO,1961.0,-0.03671181910576292,0.040128126746962194,0.09565959033435859,0.13382999774433627,0.17827882636672823,0.2393776630752083,0.30669117638398147
verylow-overshoot,VLHO,1962.0,-0.042972851556621505,0.0408104118992146,0.09214828301841581,0.14218292732294663,0.18248195095063355,0.24178474016733278,0.3356077812009141
verylow-overshoot,VLHO,1963.0,-0.023513395588857164,0.04592682132989153,0.10072709435930914,0.1421187525995801,0.17643850577337136,0.2344004051245418,0.3283572172323573
verylow-overshoot,VLHO,1964.0,-0.02170642997811035,0.05075516052281474,0.1009703529793021,0.14753060206726726,0.19194662242710597,0.24328874231644534,0.3229362206059011
verylow-overshoot,VLHO,1965.0,-0.019696649408146055,0.05017013256071076,0.10533662305444992,0.15205234109599033,0.19320917688990355,0.2486206386360077,0.3327631512525068
verylow-overshoot,VLHO,1966.0,-0.01880164223880597,0.058611111134952834,0.11388230299580118,0.15691182260241185,0.1958721573088069,0.26113149218160425,0.34930226662118447
verylow-overshoot,VLHO,1967.0,-0.0275670254881231,0.06005405949198833,0.11637654496784285,0.16250624788872006,0.20123429407337395,0.26417489892200485,0.33943108055890714
verylow-overshoot,VLHO,1968.0,-0.011008436065701142,0.07278986907944236,0.12409431005463291,0.16741613089607546,0.2054605236245647,0.26933770122964423,0.3488021071802897
verylow-overshoot,VLHO,1969.0,0.005280135257253717,0.07944691599798429,0.12650896100815093,0.17231240517561244,0.21161498142748308,0.2613019157158557,0.35340377506440046
verylow-overshoot,VLHO,1970.0,0.016350516500333503,0.08184331300229244,0.13400190137727633,0.17641989238976263,0.21866855945971017,0.28121718764226145,0.35310426480386453
verylow-overshoot,VLHO,1971.0,0.020827318649843163,0.08715535632884049,0.13838091286918813,0.17942815576242077,0.22351784149924372,0.286796942086194,0.3618268810156213
verylow-overshoot,VLHO,1972.0,0.029194772160964215,0.10401018649033389,0.15453464150495436,0.1930277825865589,0.23560148458604258,0.29531046840587555,0.38099876144896333
verylow-overshoot,VLHO,1973.0,0.0250816233129353,0.09978310967215558,0.15895106778711737,0.2047626057848894,0.24357416193181755,0.30542596339153455,0.39462477729550305
verylow-overshoot,VLHO,1974.0,0.04372580450184371,0.11654004165852347,0.16592909660868724,0.20675997698427728,0.24544788687937907,0.3099159906025976,0.397287321105798
verylow-overshoot,VLHO,1975.0,0.05325299225377876,0.1183582449471883,0.16995722699272853,0.21264237487868437,0.2569453916445836,0.32128505986239386,0.4101993399762886
verylow-overshoot,VLHO,1976.0,0.04560091168694359,0.12087901880925173,0.1782280153751674,0.22221371475771393,0.2688940043386449,0.3338390354441514,0.4348580122600089
verylow-overshoot,VLHO,1977.0,0.05471648410654835,0.13194271613267194,0.18342057993167388,0.23293796096448777,0.2796512894123283,0.3376721711219042,0.4433630458707967
verylow-overshoot,VLHO,1978.0,0.06183946808371789,0.13793306543339773,0.18830665646351116,0.23409513761299333,0.2825365380754099,0.3457894682297377,0.4377762295692759
verylow-overshoot,VLHO,1979.0,0.08150439793375601,0.15074310532719348,0.1946167712500976,0.24678101559815013,0.2886958713875184,0.35818874783481003,0.43793230527791427
verylow-overshoot,VLHO,1980.0,0.08157031942060206,0.14435939772024806,0.20946372094663734,0.2557594893513998,0.2983742379614234,0.36387647946206286,0.46851076278602444
verylow-overshoot,VLHO,1981.0,0.09079308263014109,0.164507702349704,0.21458920215758098,0.26480765043296783,0.3084210831746977,0.37576851416753443,0.4631442522157587
verylow-overshoot,VLHO,1982.0,0.09455506074922926,0.17075720101421446,0.2275892164542884,0.2779818242630322,0.324859794118101,0.3833735658276338,0.4623689770941903
verylow-overshoot,VLHO,1983.0,0.10851209277749896,0.1837079670694299,0.23307211313231485,0.2873547349049456,0.3280271864928827,0.39169699021729565,0.47784337691027995
verylow-overshoot,VLHO,1984.0,0.11261121436380095,0.19120111442333673,0.24762213406894024,0.292787278446865,0.3436369562116677,0.4071053478517892,0.5087335818614087
verylow-overshoot,VLHO,1985.0,0.1149894621977072,0.18951463960186224,0.2547784844059781,0.29781325973056666,0.3457596397966984,0.40482249524672825,0.5042290275606787
verylow-overshoot,VLHO,1986.0,0.11517895396118534,0.2060852950605094,0.2549759841124159,0.30091765872141324,0.35754280959356394,0.4171131336938196,0.5031893752379671
verylow-overshoot,VLHO,1987.0,0.13441582966068683,0.20536937984381898,0.2645601112514407,0.3123146282168054,0.360831206540275,0.4264153324389353,0.5132977231085025
verylow-overshoot,VLHO,1988.0,0.13973882827275938,0.21527343050878647,0.27128854319478796,0.3223133330191811,0.36776911598864503,0.44264119643075206,0.5316310904455648
verylow-overshoot,VLHO,1989.0,0.15319252072974293,0.22848288850908394,0.28680621583055116,0.34048893858109863,0.38492214620490856,0.43914959312293467,0.5416198712785263
verylow-overshoot,VLHO,1990.0,0.15089630734720905,0.23012103647524604,0.2911994792744832,0.3440590883363488,0.3872970014067533,0.44725344158763497,0.5377401216132991
verylow-overshoot,VLHO,1991.0,0.1660730738142842,0.2498212126251839,0.29883998851533206,0.35217051378880243,0.404359488730868,0.46600953683231006,0.572113324529874
verylow-overshoot,VLHO,1992.0,0.18071939633743592,0.25524006699887053,0.3176565768885947,0.36285693555824416,0.41258172042984737,0.48984755923669654,0.5715910722050086
