emulator_scenario,fair_scenario,short,year,p5,p17,p33,p50,p66,p83,p95
vl,verylow,VLLO,1869,-0.1576527679781612,-0.0868679819635365,-0.0410769360229515,-0.0019940962103202,0.0299284180364808,0.0811203446032646,0.1549402587430002
vl,verylow,VLLO,1870,-0.1611335741952024,-0.0912160262113,-0.0462577467430255,-0.005212373578054,0.0304417408694879,0.0789016378837544,0.1461585343333578
vl,verylow,VLLO,1871,-0.1709013227786899,-0.0954391307259203,-0.0455618339142954,-0.0094515765196921,0.03008653747605,0.0772704955438638,0.1398648227130082
vl,verylow,VLLO,1872,-0.1503160696440305,-0.0954346284173526,-0.0444095411260373,-0.0052558755121747,0.0329146973682985,0.0832522649698171,0.142383000580766
vl,verylow,VLLO,1873,-0.1469914916555851,-0.0889272499127976,-0.0421986483816207,-0.0061257245864847,0.0266838409783326,0.078189712338224,0.145116321097147
vl,verylow,VLLO,1874,-0.1471393725890461,-0.0902757168838037,-0.0392156847058236,-0.0026261896527645,0.0356242049777059,0.0824790052538611,0.151733698750443
vl,verylow,VLLO,1875,-0.1622506771865357,-0.0905520995607947,-0.0450039057037437,-0.0002274262607593,0.0380959962699368,0.0876096556677103,0.1544853061880222
vl,verylow,VLLO,1876,-0.1503635262602347,-0.084856330075332,-0.0341681706838653,-0.0001700215459381,0.0382004691742232,0.0827609507848567,0.1427401808450655
vl,verylow,VLLO,1877,-0.1596816889971977,-0.0857937535623858,-0.0327127870506074,0.0041690226952894,0.0382691077838439,0.0833304863932906,0.1453028577189263
vl,verylow,VLLO,1878,-0.1586026723909687,-0.0854645207748958,-0.0379829806951335,0.0060544847130797,0.0457182859388676,0.0913424379519519,0.166556734493641
vl,verylow,VLLO,1879,-0.1494957532421237,-0.0867122825090578,-0.0398303554605748,0.0039721476174343,0.0344907981373009,0.0907806262326004,0.1582754638158973
vl,verylow,VLLO,1880,-0.1409906484820468,-0.0764630997951384,-0.0335612699968633,0.0008355125913976,0.0365525217699781,0.0888937964578413,0.1583415658409374
vl,verylow,VLLO,1881,-0.142305975104909,-0.0839381816567926,-0.036009471654226,0.0032648764551031,0.0359867269529995,0.0818622898490044,0.1468331129193597
vl,verylow,VLLO,1882,-0.1485874663134698,-0.0839742769314712,-0.0386790178808088,-0.0006400445070576,0.0341764525578924,0.0817234694936281,0.1552061889881336
vl,verylow,VLLO,1883,-0.1672713904550211,-0.0860536150644129,-0.0399528039094142,4.972586215280968e-05,0.0347470942706876,0.0851385967028685,0.1483125965598997
vl,verylow,VLLO,1884,-0.1627107525568349,-0.0909913980617445,-0.0370464191644368,0.0008497001925239,0.0391133196011514,0.0883054028272088,0.1530947060639174
vl,verylow,VLLO,1885,-0.1673884227507082,-0.0952841478337098,-0.0403537433293645,0.0004712240367411,0.0372161900219765,0.0838402379902059,0.1671742262046247
vl,verylow,VLLO,1886,-0.141932157362045,-0.0771994268930255,-0.0284224504098998,0.0085364364121655,0.0382301966996873,0.0871828530209301,0.1669893033770182
vl,verylow,VLLO,1887,-0.1481480120893121,-0.0829478634694937,-0.0330391516105179,0.0070358457292906,0.0391675000334625,0.0891502730023042,0.1568443529686848
vl,verylow,VLLO,1888,-0.152593434208923,-0.0865870845842896,-0.0376492500654526,0.0045881122727763,0.0401268468547134,0.0882967694879313,0.1717694660869787
vl,verylow,VLLO,1889,-0.1399983751968166,-0.0787538344877367,-0.0300096705755861,0.0052463762209628,0.0396283162903483,0.0855962969904087,0.1439020318366359
vl,verylow,VLLO,1890,-0.1441962583555549,-0.0813294206810251,-0.0327109635748488,0.004886726530772,0.0385660901887696,0.0865662216768849,0.1652296081784784
vl,verylow,VLLO,1891,-0.142926796585379,-0.0791685650730422,-0.0340772687525295,0.0062775558707564,0.0444480560088986,0.0909108285182077,0.1591050616144265
vl,verylow,VLLO,1892,-0.142981959172639,-0.0829652755123275,-0.0356787665779017,0.0024555401497701,0.0360047041729571,0.0880793745556345,0.155614292487313
