scenario,year,GtCO2_per_yr
vl,1871,0.5549316608346175
vl,1872,0.6156083924064597
vl,1873,0.6551327658631911
vl,1874,0.6374888239164889
vl,1875,0.6711892525370601
vl,1876,0.6850150035274478
vl,1877,0.700877988738015
vl,1878,0.7102208806778414
vl,1879,0.7626967858314923
vl,1880,0.8632127240436723
vl,1881,0.8843712055722721
vl,1882,0.9339506672436519
vl,1883,0.9919133171545707
vl,1884,1.0056906987317304
vl,1885,1.0172349994951841
vl,1886,1.0372185463112746
vl,1887,1.0912470626919952
vl,1888,1.2049825466135984
vl,1889,1.20551326304831
vl,1890,1.3082513799754887
vl,1891,1.3694255261017583
vl,1892,1.3839483546841902
vl,1893,1.3747362285495481
vl,1894,1.4233980187147837
vl,1895,1.5088799318737824
vl,1896,1.5567698123534537
vl,1897,1.6275759806212378
vl,1898,1.7141700723445745
vl,1899,1.8641735362736083
vl,1900,1.963620599143328
vl,1901,2.0349117420430796
vl,1902,2.0908005453079057
vl,1903,2.273055544802917
vl,1904,2.3046870673031012
vl,1905,2.4521070809056056
vl,1906,2.610627286710224
vl,1907,2.9003454860971885
vl,1908,2.811475405003306
vl,1909,2.9203042425701735
vl,1910,3.0654690661194337
vl,1911,3.1231013731339416
vl,1912,3.2769058921975383
vl,1913,3.536983780050245
vl,1914,3.2187472806151574
vl,1915,3.171128816445608
vl,1916,3.4036883908412396
vl,1917,3.5231584460656005
vl,1918,3.465965302269309
vl,1919,3.0259181887587583
vl,1920,3.468017207865939
vl,1921,3.05244572410576
vl,1922,3.2275946504656314
vl,1923,3.6152734761145604
vl,1924,3.638786834080479
vl,1925,3.703076424070992
vl,1926,3.7025145802666715
vl,1927,4.016406820364546
vl,1928,4.0280847773559385
vl,1929,4.327301959514735
vl,1930,3.9843899295190797
vl,1931,3.592930310548872
vl,1932,3.252952391772245
vl,1933,3.4077286554966153
vl,1934,3.6921146069402915
vl,1935,3.876561120056186
vl,1936,4.240445170298415
vl,1937,4.5253104763260374
vl,1938,4.265908639772012
vl,1939,4.497689881435647
vl,1940,4.965632672023056
vl,1941,5.094648624928683
vl,1942,5.110141827225665
vl,1943,5.282467985602381
vl,1944,5.233093565687719
vl,1945,4.42179685630461
vl,1946,4.66681694143757
vl,1947,5.1727345494556864
vl,1948,5.46905906885792
vl,1949,5.375502328479928
vl,1950,5.837740861889648
vl,1951,6.27725832259884
vl,1952,6.415620635720624
vl,1953,6.579343591724937
vl,1954,6.754437734396949
vl,1955,7.369583168064947
vl,1956,7.8479175092218085
vl,1957,8.119819193725531
vl,1958,8.446108877310067
vl,1959,8.85199647971202
vl,1960,9.454097211835691
vl,1961,9.516483920772853
vl,1962,9.890338674299098
vl,1963,10.453288750804703
vl,1964,11.004662662596633
vl,1965,11.518698197114144
vl,1966,12.074899847886602
vl,1967,12.489529573926603
vl,1968,13.228990268515
vl,1969,13.977354451614378
vl,1970,15.044503534142963
vl,1971,15.627810182889927
vl,1972,16.33224744083347
vl,1973,17.267022556736542
vl,1974,17.208195555600252
vl,1975,17.17784569394095
vl,1976,18.073783817022747
vl,1977,18.653857734975404
vl,1978,19.24028423877714
vl,1979,19.770857515039182
vl,1980,19.58005703918602
vl,1981,19.299518662497118
vl,1982,19.19282782893726
vl,1983,19.320865121558708
vl,1984,19.94646865716183
vl,1985,20.250392432109937
vl,1986,20.623636249599684
vl,1987,21.288067192818005
vl,1988,21.981418259778838
vl,1989,22.338762807163583
vl,1990,22.94257103191512
