scenario,year,gmean_K
aaer,1977,286.4996745613824
aaer,1978,286.5430482466042
aaer,1979,286.5901203050186
aaer,1980,286.2800325907975
aaer,1981,286.33698048902613
aaer,1982,286.5709492004628
aaer,1983,286.4374243576794
aaer,1984,286.33088408063554
aaer,1985,286.4768920599086
aaer,1986,286.6587955533902
aaer,1987,286.7094692494741
aaer,1988,286.64612452252715
aaer,1989,286.4434005933625
aaer,1990,286.50293427406507
aaer,1991,286.4373432829251
aaer,1992,286.5225912067431
aaer,1993,286.55464748373123
aaer,1994,286.8297290222553
aaer,1995,286.69893641433555
aaer,1996,286.6504838224848
aaer,1997,286.6323907497583
aaer,1998,286.37743791400857
aaer,1999,286.2069762274935
aaer,2000,286.48130890245636
aaer,2001,286.5368341148625
aaer,2002,286.80596410763604
aaer,2003,286.8493323875127
aaer,2004,286.6564380207321
aaer,2005,286.61067686930835
aaer,2006,286.4539217396779
aaer,2007,286.49418310325177
aaer,2008,286.56639617715547
aaer,2009,286.5127240323773
aaer,2010,286.60593804472927
aaer,2011,286.5457792561454
aaer,2012,286.4827280967245
aaer,2013,286.400355393448
aaer,2014,286.57441478495286
aaer,2015,286.66576473815684
aaer,2016,286.30469924546355
aaer,2017,286.32090578331815
aaer,2018,286.3444836775744
aaer,2019,286.3001068230965
aaer,2020,286.2852350963468
aaer,2021,286.1032954942631
aaer,2022,286.0984111213682
aaer,2023,286.31052342674684
aaer,2024,286.4317374248578
aaer,2025,286.51804848161976
aaer,2026,286.5648873130097
aaer,2027,286.53402484082096
aaer,2028,286.5214872004445
aaer,2029,286.47743523178684
aaer,2030,286.31796261500625
aaer,2031,286.4879087126909
aaer,2032,286.46284968057233
aaer,2033,286.46327998150525
aaer,2034,286.3725207003781
aaer,2035,286.2422640502351
aaer,2036,286.39562380939594
aaer,2037,286.31891688440334
aaer,2038,286.1777429357132
aaer,2039,286.22649101858605
aaer,2040,286.25496584745935
aaer,2041,286.34907306897935
aaer,2042,286.5290828172231
aaer,2043,286.35170267643537
aaer,2044,286.2764891099861
aaer,2045,286.2648761354905
aaer,2046,286.316834917527
aaer,2047,286.4102996418234
aaer,2048,286.4253947133096
aaer,2049,286.23155341612664
aaer,2050,286.34651626102976
ghg,1850,287.47137207138115
ghg,1851,287.2692673117445
ghg,1852,287.1661855692899
ghg,1853,287.32887129213873
ghg,1854,287.3703247295855
ghg,1855,287.50296236586547
ghg,1856,287.2792260388706
ghg,1857,287.0673536885769
ghg,1858,287.0611647431135
ghg,1859,287.0512267037441
ghg,1860,287.3402681928736
ghg,1861,287.31762640512534
ghg,1862,287.0502851460116
ghg,1863,287.1332062933524
ghg,1864,287.15256255696244
ghg,1865,287.1177782529536
ghg,1866,287.1655571704771
ghg,1867,287.1841385884895
ghg,1868,287.0303651787113
ghg,1869,287.0254296765843
ghg,1870,287.2027918248889
ghg,1871,287.32612832651495
ghg,1872,287.2989663483814
ghg,1873,287.2545042592116
ghg,1874,286.9673657190009
ghg,1875,287.1913653679717
ghg,1876,287.33035877074093
ghg,1877,287.31583336057264
ghg,1878,287.17619599519384
ghg,1879,287.18229000427414
ghg,1880,287.179767664278
ghg,1881,287.29437516508
ghg,1882,287.3030065273998
ghg,1883,287.2112531091132
ghg,1884,287.29113359541043
ghg,1885,287.43288373953146
ghg,1886,287.35192448137366
ghg,1887,287.4072173685849
ghg,1888,287.3839978468216
ghg,1889,287.3235985213732
ghg,1890,287.3877285416181
ghg,1891,287.5229950533015
ghg,1892,287.3144331619763
ghg,1893,287.2862744836032
ghg,1894,287.4273571651438
ghg,1895,287.33627114203836
ghg,1896,287.2679425550493
ghg,1897,287.2660921813749
