year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11
1957,13.552966,13.529159,13.375891,13.556353,13.563778,13.739723,13.584505,13.606755,13.535591,13.470517,13.655498
1958,13.774097,13.608206,13.657676,13.590302,13.384091,13.459226,13.404897,13.620750,13.683338,13.670096,13.453625
1959,13.606316,13.537879,13.581135,13.639964,13.434467,13.816325,13.497281,13.232521,13.490838,13.493281,13.436639
1960,13.582699,13.473927,13.766622,13.715247,13.473052,13.626839,13.316078,13.622915,13.689756,13.561532,13.588538
1961,13.495998,13.404662,13.447211,13.478370,13.440697,13.633387,13.543929,13.576748,13.391427,13.524217,13.485739
1962,13.427274,13.615108,13.584089,13.512327,13.557671,13.627877,13.571089,13.614991,13.408409,13.672897,13.544499
1963,13.614651,13.470412,13.561880,13.482099,13.696987,13.508380,13.477817,13.486272,13.443109,13.486408,13.399528
1964,13.401474,13.482315,13.559688,13.483924,13.570770,13.561205,13.530103,13.525778,13.384983,13.502032,13.451848
1965,13.520344,13.332189,13.600210,13.363410,13.289165,13.339264,13.591574,13.358522,13.427082,13.596689,13.463332
1966,13.474527,13.392420,13.524482,13.424932,13.654876,13.315347,13.564049,13.404905,13.617888,13.488497,13.460127
1967,13.522831,13.650134,13.421109,13.549506,13.640528,13.503030,13.311133,13.459469,13.443661,13.352596,13.507751
1968,13.181635,13.845083,13.467192,13.422424,13.460871,13.482056,13.413254,13.494113,13.541248,13.570993,13.301379
1969,13.499648,13.681380,13.134482,13.277305,13.295264,13.496723,13.515571,13.386260,13.449939,13.608541,13.615070
1970,13.238100,13.620897,13.502514,13.369907,13.436736,13.367420,13.286675,13.393988,13.266218,13.197174,13.437570
1971,13.466523,13.293126,13.255182,13.406580,13.515809,13.256841,13.444850,13.740106,13.338599,13.436928,13.290462
1972,13.363086,13.547568,13.165817,13.397474,13.237376,13.354998,13.317769,13.390214,13.507054,13.337426,13.512355
1973,13.135845,13.297051,13.453592,13.035268,13.278452,13.454132,13.313342,13.388850,13.251254,13.180047,13.311646
1974,13.174866,13.483378,13.283548,13.528335,13.361225,13.304476,13.497403,13.449163,13.432113,13.310409,13.423889
1975,13.338241,13.336558,13.367388,13.287239,13.318394,13.370302,13.619827,13.261485,13.358423,13.222814,13.356085
1976,13.073678,13.344387,13.372883,13.527457,13.207582,13.505981,13.179234,13.254251,13.211047,13.352169,13.439436
1977,13.078749,13.135049,13.594858,13.237488,13.379800,13.373243,13.260675,13.384967,13.078305,13.565284,13.306852
1978,13.152012,13.385758,13.161832,13.425616,13.392599,13.298304,13.452367,13.322755,13.222263,13.312254,13.311804
1979,13.385241,13.037521,13.310505,13.312762,13.162610,13.260141,13.532459,13.210368,13.254513,13.475011,13.365959
1980,13.019758,13.235764,13.232321,13.482224,13.283679,13.420998,13.378022,13.160293,13.002849,13.159052,13.308811
1981,13.451601,13.387563,13.279270,13.264683,13.279781,13.230346,13.083565,13.621614,13.248868,13.228629,13.327774
1982,13.305301,13.302953,13.448819,13.147300,13.419303,13.191739,13.194512,13.121180,13.327360,13.405166,13.227911
1983,13.019954,13.283780,13.507442,13.192971,13.275918,13.139125,13.205552,13.366185,13.259044,13.003012,13.427802
1984,13.433389,13.201159,13.138392,13.493138,13.216775,13.201522,13.087079,13.418572,13.131730,13.334234,13.213815
1985,13.314422,13.109309,13.477578,13.472728,13.228367,13.192838,13.197586,13.295849,13.200057,13.035614,13.136144
1986,13.080551,13.279082,13.092600,13.196702,13.071927,13.413415,13.184990,13.230068,13.140344,13.238340,13.088176
1987,13.265045,13.107075,13.410580,13.189221,13.247743,13.091641,13.024999,13.176238,13.429154,13.278426,13.358746
1988,13.113522,13.306145,13.441775,13.445369,13.100174,13.325243,13.213052,13.010244,13.289574,13.299545,13.184106
1989,13.371318,13.090210,13.067357,13.577910,13.036689,13.275471,13.209324,13.260908,13.291869,13.133144,13.123726
1990,13.180389,13.062927,13.443501,13.288429,13.204092,13.426464,13.240117,13.302115,13.190640,13.061588,13.233333
