scenario,source,value,unit
ssp126,cesm2,4.667199797205013,%
ssp126,cesm2,4.882995480696067,%
ssp126,cesm2,4.416628185993002,%
ssp126,cesm2,4.525923880900502,%
ssp126,cesm2,4.459930881771191,%
ssp126,cesm2,3.6209156200572323,%
ssp126,cesm2,5.038097803908166,%
ssp126,cesm2,3.778779486990651,%
ssp126,cesm2,4.122694998322496,%
ssp126,cesm2,3.6872220798677526,%
ssp126,cesm2,4.429540012968283,%
ssp126,cesm2,4.914981298292841,%
ssp126,cesm2,3.79024291595488,%
ssp126,cesm2,4.564742225890659,%
ssp126,cesm2,4.160689310548725,%
ssp126,cesm2,4.835076402445892,%
ssp126,cesm2,4.212385381519551,%
ssp126,cesm2,4.279683212472202,%
ssp245,emulator,4.940532494219246,%
ssp245,emulator,5.059774478152661,%
ssp245,emulator,5.026029952968389,%
ssp245,emulator,2.6031903434998047,%
ssp245,emulator,4.046884552032037,%
ssp245,emulator,3.1671005304319078,%
ssp245,emulator,4.361072049110469,%
ssp245,emulator,4.639975578842735,%
ssp245,emulator,3.413810366331938,%
ssp245,emulator,5.2143668636662674,%
ssp245,emulator,4.310704691999454,%
ssp245,emulator,4.044726956327858,%
ssp245,emulator,5.518476588325963,%
ssp245,emulator,4.959300204674366,%
ssp245,emulator,5.210706084846532,%
ssp245,emulator,3.9682230307234847,%
ssp245,emulator,5.636855951702982,%
ssp245,emulator,3.953638616581179,%
ssp245,emulator,4.791834372129134,%
ssp245,emulator,3.284325795304111,%
ssp245,emulator,5.964078248437096,%
ssp245,emulator,5.703116054733766,%
ssp245,emulator,4.338336995433853,%
ssp245,emulator,3.6085686538159267,%
ssp245,emulator,3.5920596291728955,%
ssp245,emulator,4.6253378235772376,%
ssp245,emulator,4.777989093220679,%
ssp245,emulator,5.116483618818552,%
ssp245,emulator,4.086631165008726,%
ssp245,emulator,4.178026127157065,%
ssp245,emulator,4.6472593648929506,%
ssp245,emulator,5.192441998697737,%
ssp245,emulator,3.880328972489723,%
ssp245,emulator,4.477513288313177,%
ssp245,emulator,4.877856654073198,%
ssp245,emulator,4.65663366906481,%
ssp245,emulator,5.507809170726003,%
ssp245,emulator,4.635799140845491,%
ssp245,emulator,3.412393332008206,%
ssp245,emulator,5.436925881300439,%
ssp245,emulator,3.8616391352573562,%
ssp245,emulator,4.155504592515869,%
ssp245,emulator,5.094854657605038,%
ssp245,emulator,4.368272383244653,%
ssp245,emulator,5.620372260872479,%
ssp245,emulator,4.27545149017943,%
ssp245,emulator,4.294452078985687,%
ssp245,emulator,4.1353620812082355,%
ssp245,emulator,4.54793246146979,%
ssp245,emulator,4.832575843200963,%
ssp245,emulator,5.5974329692864515,%
ssp245,emulator,4.3978862123586655,%
ssp245,emulator,5.2272052664894195,%
ssp245,emulator,4.723804461443957,%
ssp245,emulator,4.291398211261452,%
ssp245,emulator,4.337136910062651,%
ssp245,emulator,5.118941249922784,%
ssp245,emulator,3.7282483454923634,%
ssp245,emulator,4.040904329928352,%
ssp245,emulator,4.750241675681411,%
ssp245,emulator,4.334293843499041,%
ssp245,emulator,5.148137139015149,%
ssp245,emulator,4.605402221211684,%
ssp245,emulator,3.3888406180607897,%
ssp245,emulator,4.0788961743426775,%
ssp245,emulator,4.603011609433158,%
ssp245,emulator,4.295755422248145,%
ssp245,emulator,4.638487558188236,%
ssp245,emulator,3.4648203288977513,%
ssp245,emulator,6.131709598616235,%
ssp245,emulator,4.240359586068716,%
ssp245,emulator,5.112848649053394,%
ssp245,emulator,4.022823539813048,%
ssp245,emulator,4.289829276370145,%
ssp245,emulator,4.143117496571538,%
ssp245,emulator,4.1797399685243635,%
ssp245,emulator,5.053964898724946,%
ssp245,emulator,5.295235422455287,%
ssp245,emulator,4.90748123758404,%
ssp245,emulator,4.34749237467739,%
ssp245,emulator,3.587793281319337,%
ssp245,emulator,3.897711144311939,%
ssp245,emulator,5.426803273457891,%
ssp245,emulator,4.052772256971768,%
ssp245,emulator,4.485203226270344,%
ssp245,emulator,4.4690062841076195,%
ssp245,emulator,4.153028406879774,%
ssp245,emulator,3.680817914174767,%
ssp245,emulator,5.15193128883634,%
ssp245,emulator,5.143824292221449,%
ssp245,emulator,4.837555131224777,%
ssp245,emulator,4.6637855588093515,%
ssp245,emulator,4.7022069839278355,%
ssp245,emulator,4.320593956843418,%
ssp245,emulator,3.6055056787874955,%
ssp245,emulator,4.79812998284875,%
ssp245,emulator,5.285464589819688,%
ssp245,emulator,3.8214283779209475,%
ssp245,emulator,3.5949109203883682,%
ssp245,emulator,4.298710530255841,%
ssp245,emulator,3.7315555040598687,%
ssp245,emulator,4.093634007543359,%
ssp245,emulator,4.729403530999533,%
ssp245,emulator,5.192366630962021,%
ssp245,emulator,5.26914304359556,%
ssp245,emulator,5.371537570964488,%
ssp245,emulator,5.561377899466718,%
ssp245,emulator,4.685174615086981,%
ssp245,emulator,3.870012565647972,%
ssp245,emulator,5.5254822962467145,%
ssp245,emulator,3.5107663582644704,%
ssp245,emulator,5.248717860095203,%
ssp245,emulator,2.997615856930653,%
ssp245,emulator,4.119925565017986,%
ssp245,emulator,3.8050748309850984,%
ssp245,emulator,4.354338042731794,%
ssp245,emulator,4.012043092192607,%
ssp245,emulator,5.304465787228594,%
ssp245,emulator,3.9853437257596593,%
ssp245,emulator,4.420839297298245,%
ssp245,emulator,5.49894206715709,%
ssp245,emulator,5.047732969609825,%
ssp245,emulator,5.006077752184209,%
ssp245,emulator,2.677432960998796,%
ssp245,emulator,4.397004619130893,%
ssp245,emulator,4.523257083446909,%
ssp245,emulator,3.5737137135114945,%
ssp245,emulator,4.40368058832203,%
ssp245,emulator,4.193222210358045,%
ssp245,emulator,4.574927533501064,%
ssp245,emulator,4.203507731983087,%
ssp245,emulator,4.560196889058378,%
ssp245,emulator,4.526846287787922,%
ssp245,emulator,4.467336949396047,%
ssp245,emulator,4.565359865877828,%
ssp245,emulator,4.237021945977742,%
ssp245,emulator,4.497000796498707,%
ssp245,emulator,3.781731229588854,%
ssp245,emulator,4.8223871109714525,%
ssp245,emulator,4.615369632681084,%
ssp245,emulator,4.616896887294064,%
ssp245,emulator,5.06565645155605,%
ssp245,emulator,4.00559440564725,%
ssp245,emulator,3.9314343333893826,%
ssp245,emulator,3.8060330976607384,%
ssp245,emulator,3.716945429673415,%
ssp245,emulator,4.001791848894548,%
ssp245,emulator,4.887089701040182,%
ssp245,emulator,4.322569231541819,%
ssp245,emulator,5.109852326250465,%
ssp245,emulator,3.44885338601407,%
ssp245,emulator,5.097892689140833,%
ssp245,emulator,5.421420650816878,%
ssp245,emulator,3.8528468279454664,%
ssp245,emulator,4.0868736220193425,%
