scenario,source,value,unit
ssp245,emulator,3.4119319146930156,degC
ssp245,emulator,3.3542819101744232,degC
ssp245,emulator,3.3413845711875485,degC
ssp245,emulator,3.4382863313696728,degC
ssp245,emulator,3.4470439828702073,degC
ssp245,emulator,3.359701043676429,degC
ssp245,emulator,3.289982690659281,degC
ssp245,emulator,3.415444814010945,degC
ssp245,emulator,3.4387794263405365,degC
ssp245,emulator,3.2316202232799593,degC
ssp245,emulator,3.4285760884933456,degC
ssp245,emulator,3.380689670513137,degC
ssp245,emulator,3.285478444151364,degC
ssp245,emulator,3.3011267998709517,degC
ssp245,emulator,3.3569384159077362,degC
ssp245,emulator,3.3414097582428663,degC
ssp245,emulator,3.365626027906826,degC
ssp245,emulator,3.426271040553969,degC
ssp245,emulator,3.3929560093122344,degC
ssp245,emulator,3.5990714686180656,degC
ssp245,emulator,3.299941303548726,degC
ssp245,emulator,3.395325003669628,degC
ssp245,emulator,3.2967443284561018,degC
ssp245,emulator,3.2843455530606125,degC
ssp245,emulator,3.416004363880168,degC
ssp245,emulator,3.2306400743811228,degC
ssp245,emulator,3.062590945624068,degC
ssp245,emulator,3.3395187202054917,degC
ssp245,emulator,3.4895470569202676,degC
ssp245,emulator,3.472558846593417,degC
ssp245,emulator,3.3986559363120303,degC
ssp245,emulator,3.3035410485470553,degC
ssp245,emulator,3.4659944797520357,degC
ssp245,emulator,3.382329846415603,degC
ssp245,emulator,3.148097307294771,degC
ssp245,emulator,3.12420111062613,degC
ssp245,emulator,3.1102575799274863,degC
ssp245,emulator,3.3561499897171903,degC
ssp245,emulator,3.315027433618093,degC
ssp245,emulator,3.325551097517115,degC
ssp245,emulator,3.356453575571278,degC
ssp245,emulator,3.4749360273227747,degC
ssp245,emulator,3.3345798586187403,degC
ssp245,emulator,3.336484064258981,degC
ssp245,emulator,3.5329325323605243,degC
ssp245,emulator,3.505636990157816,degC
ssp245,emulator,3.250433233693032,degC
ssp245,emulator,3.49156840471983,degC
ssp245,emulator,3.438808148991159,degC
ssp245,emulator,3.4861477507724583,degC
ssp245,emulator,3.047070724784538,degC
ssp245,emulator,3.2544682141879004,degC
ssp245,emulator,3.2774358611688594,degC
ssp245,emulator,3.3514415983700214,degC
ssp245,emulator,3.313461493397993,degC
ssp245,emulator,3.47650960250129,degC
ssp245,emulator,3.3027547365416883,degC
ssp245,emulator,3.392240229104802,degC
ssp245,emulator,3.1778980361401903,degC
ssp245,emulator,3.294193124984366,degC
ssp245,emulator,3.3929509985574153,degC
ssp245,emulator,3.3845307382217538,degC
ssp245,emulator,3.518726844361142,degC
ssp245,emulator,3.2393100099890884,degC
ssp245,emulator,3.1590031822216655,degC
ssp245,emulator,3.2877410769290965,degC
ssp245,emulator,3.367714973256559,degC
ssp245,emulator,3.3970891719816425,degC
ssp245,emulator,3.4585316188732467,degC
ssp245,emulator,3.2607546844526727,degC
ssp245,emulator,3.321630612878378,degC
ssp245,emulator,3.1737793722977177,degC
ssp245,emulator,3.2960711766220516,degC
ssp245,emulator,3.239885117070388,degC
ssp245,emulator,2.9379504065013986,degC
ssp245,emulator,3.3652871880214565,degC
ssp245,emulator,2.968922198681847,degC
ssp245,emulator,3.221461355389538,degC
ssp245,emulator,3.4234918072453393,degC
ssp245,emulator,3.172576276553622,degC
ssp245,emulator,3.4508045106980507,degC
ssp245,emulator,3.343417459480504,degC
ssp245,emulator,3.1219741727237764,degC
ssp245,emulator,3.376416272496675,degC
ssp245,emulator,3.348595012248202,degC
ssp245,emulator,3.268748100640307,degC
ssp245,emulator,3.5272064735146866,degC
ssp245,emulator,3.27310575279707,degC
ssp245,emulator,3.4973896816530488,degC
ssp245,emulator,3.3273144666703747,degC
ssp245,emulator,3.521914105971282,degC
ssp245,emulator,3.390232669989116,degC
ssp245,emulator,3.3666586646650796,degC
ssp245,emulator,3.2985822690468307,degC
ssp245,emulator,3.2766090071477887,degC
ssp245,emulator,3.0575183463592897,degC
ssp245,emulator,3.1420554644962753,degC
ssp245,emulator,3.0068509157352334,degC
ssp245,emulator,3.29390072184019,degC
